response_id	source	item	review_request	revision_action	manuscript_location	supporting_evidence	status
RR01	Academic editor / journal	J1	Ensure PLOS ONE style requirements and file naming are followed.	Scientific manuscript content has been finalized. PLOS-specific clean and marked-up submission files will be generated and checked in the final formatting/package phase.	Final submission package	Pending clean/marked manuscript production.	PACKAGE_STAGE_PENDING
RR02	Academic editor / journal	J2	Provide a dedicated generative-AI disclosure naming the tool, describing use, validation of outputs, and affected study/article materials.	Expanded the generative-AI disclosure to identify ChatGPT/OpenAI, describe editorial/workflow/code-assistance uses, state that AI output was not treated as scientific evidence, describe validation procedures, and state author responsibility.	Declaration of generative AI and AI-assisted technologies	v2.2 manuscript; scripts/python/58_reconcile_reviewer_editor_manuscript_v2.py	ADDRESSED
RR03	Academic editor / journal	J3	Make author-generated code publicly available without restriction.	Published the revision-round scripts, decision logs, quality gates, source-data tables, figures and supplementary outputs on the public GitHub revision branch.	Code availability	Public branch: plosone_revision_round1_2026; verified remote commit 93ee78bd48f090d67a8fed40c279ce2542066e23.	ADDRESSED
RR04	Academic editor / journal	J4	Provide direct links to each database in the Data Availability Statement.	Added direct NCBI GEO URLs for GSE211567, GSE73461 and GSE72810.	Data availability	Direct GEO links are present in v2.2.	ADDRESSED
RR05	Reviewer 1	R1.1	The conclusions relied on one external validation dataset; include additional datasets or discuss/soften this limitation.	Added GSE72810 as a second accession-level and sample-level cohort measured on a different Illumina platform. Claims were simultaneously bounded because GSE72810 and GSE73461 arose from the same broad investigator network and direct participant overlap could not be assessed.	Methods: GSE72810 cross-platform validation; Results: GSE72810 provides accession-level and cross-platform validation; Discussion: limitations	Scripts 44-50; Figure 3; Table 2; Supplementary Tables S6-S9.	ADDRESSED
RR06	Reviewer 1	R1.2	Provide more detail on criteria used during manual GO review/module definition and clarify whether the modules are optimal or most informative.	Expanded the module-definition description to explain cross-site directional prioritisation, redundancy grouping and documented biological curation. Explicitly stated that module construction was biologically guided rather than mathematically optimized for prediction or separation.	Methods: GSE211567 discovery and module definition	v2.2 Methods; revision reproducibility/decision logs; module definitions remain unchanged.	ADDRESSED
RR07	Reviewer 1	R1.3	Compare the proposed scoring strategy with GSVA.	Added GSVA sensitivity analysis using the unchanged module gene sets. The analysis showed strong support for BACT_M2, VIR_M1a and VIR_M1b, additional support for BACT_M1, and scoring-method sensitivity for VIR_M2.	Methods: Sensitivity and robustness analyses; Results: Sensitivity analyses; Discussion	Scripts 41-42; Figure S1B; Supplementary Table S10.	ADDRESSED
RR08	Reviewer 1	R1.4	Report effect sizes and confidence intervals in addition to medians and adjusted P values.	Added Hodges-Lehmann location shifts, rank-biserial effects and bootstrap 95% confidence intervals for the external-cohort analyses.	Methods: Module scoring and statistical analysis; Results; Figure 3; Table 2	Scripts 40 and 48; cross-cohort Figure 3; Table 2; Supplementary Tables S8-S9.	ADDRESSED
RR09	Reviewer 2	R2.1	Evaluate how loss of specific genes affects module discrimination, for example leave-one-out and leave-two-out analyses.	Performed exhaustive leave-one-gene and leave-two-gene deletion analyses for every module in both GSE73461 scoring populations.	Methods: Sensitivity and robustness analyses; Results: Exhaustive deletion analysis	29,826 variants evaluated; all retained expected direction; minimum Pearson correlation 0.9940. Script 43; Figure S1C; Supplementary Table S10.	ADDRESSED
RR10	Reviewer 2	R2.2	Describe the nature and sample composition of the analyzed datasets in substantially greater detail.	Expanded the dataset descriptions. GSE211567 now states whole-blood samples from Sri Lanka and the United States and the 224-sample discovery set (101 bacterial, 123 viral). GSE73461 and GSE72810 now state relevant platforms, scoring-reference populations and inferential contrasts.	Methods: Study design and datasets; GSE211567; GSE73461; GSE72810	v2.2 Methods and supplementary cohort-audit tables.	ADDRESSED
RR11	Reviewer 2	R2.3	Explain the logic and consequences of control-sample inclusion/exclusion in the z-score reference population.	Clarified that GSE73461 Controls contribute to the main z-score reference population but not to the bacterial-versus-viral inferential contrast. Primary-only z-score sensitivity was retained to quantify dependence on the reference-population choice. GSE72810 uses all 146 samples as the main z-score reference while restricting inference to the definite bacterial and definite viral groups.	Methods: GSE73461 formal external projection; GSE72810; Sensitivity and robustness analyses	Primary-only sensitivity analyses; Figure 2; Figure S1; Supplementary Tables.	ADDRESSED
RR12	Reviewer 2	R2.4	Rewrite figure captions so they explain the finding, analysis and figure elements.	Expanded the legends for Figures 1-3 and Figure S1 to describe the analysis, direction conventions, symbols/statistics and principal findings.	Figure captions	v2.2 figure captions.	ADDRESSED
RR13	Reviewer 2	R2.5	Provide the formal definition of concordance used in Figure 1B.	Defined directional concordance as agreement in the sign of the bacterial-versus-viral log2 fold change; percentage concordance is the number of same-sign features divided by the number compared and multiplied by 100. Spearman log2-fold-change correlations are reported separately.	Methods: GSE211567 discovery and module definition; Figure 1B caption	Implemented in Script 14 and described explicitly in v2.2.	ADDRESSED
