supplementary_item	source_file	destination_file	role	rows	columns	source_sha256	destination_sha256	byte_identical
S6A	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_candidate_validation_decision.tsv	results/supplementary_tables/Supplementary_Table_S6A_GSE72810_candidate_validation_decision.tsv	GSE72810 cohort suitability and analysis decision	1	16	01e23c33f749ebcc2fd70a21e62f1f8c7c1d780b9dd779c0ff07d76ea76f48a8	01e23c33f749ebcc2fd70a21e62f1f8c7c1d780b9dd779c0ff07d76ea76f48a8	TRUE
S6B	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_sample_group_summary.tsv	results/supplementary_tables/Supplementary_Table_S6B_GSE72810_sample_group_summary.tsv	GSE72810 deposited sample-group classification	6	4	b4e50ba838f59523c70ce566688072a7fa0999e402f6ba1705d08753a8756b59	b4e50ba838f59523c70ce566688072a7fa0999e402f6ba1705d08753a8756b59	TRUE
S6C	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_analysis_group_summaries.tsv	results/supplementary_tables/Supplementary_Table_S6C_GSE72810_analysis_group_summaries.tsv	Locked primary and sensitivity analysis groups	40	15	a7716b41749d2b49ba1335161b635bb65c6ae8c38375d4693f979da3bf0515b4	a7716b41749d2b49ba1335161b635bb65c6ae8c38375d4693f979da3bf0515b4	TRUE
S6D	results/revision_round1/GSE72810_GSE73461_overlap_independence_audit/GSE72810_GSE73461_independence_dimension_assessment.tsv	results/supplementary_tables/Supplementary_Table_S6D_GSE72810_GSE73461_independence_assessment.tsv	Accession platform participant and investigator-network assessment	5	5	2c8b0487e1d0551d50d7ef35bf67e6d8b7b863d72ada07aa7ff70fc26ad2283d	2c8b0487e1d0551d50d7ef35bf67e6d8b7b863d72ada07aa7ff70fc26ad2283d	TRUE
S7A	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_entrez_reconciliation_decision.tsv	results/supplementary_tables/Supplementary_Table_S7A_GSE72810_entrez_reconciliation_decision.tsv	Structured Entrez reconciliation decision	1	13	adf754c17fd42e8bb6779b844f882658986e0616de78a03fc0199af7e3f86bef	adf754c17fd42e8bb6779b844f882658986e0616de78a03fc0199af7e3f86bef	TRUE
S7B	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_locked_module_coverage_entrez_reconciled.tsv	results/supplementary_tables/Supplementary_Table_S7B_GSE72810_module_coverage_entrez_reconciled.tsv	Module-level Entrez-reconciled coverage	5	13	3dd942be5007a03a09b9cc3fb856472bd0e955683f86c1a817d6bd336974fa5e	3dd942be5007a03a09b9cc3fb856472bd0e955683f86c1a817d6bd336974fa5e	TRUE
S7C	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_locked_module_gene_mapping_entrez_reconciled.tsv	results/supplementary_tables/Supplementary_Table_S7C_GSE72810_locked_module_gene_mapping.tsv	Complete locked module-gene reconciliation	313	19	7117565dc7b1e18e7a3032afc957cf0fb8ac535eae7914be4df4a92afaa14de2	7117565dc7b1e18e7a3032afc957cf0fb8ac535eae7914be4df4a92afaa14de2	TRUE
S7D	results/revision_round1/GSE72810_probe_rule_design/GSE72810_frozen_representative_probe_choices.tsv	results/supplementary_tables/Supplementary_Table_S7D_GSE72810_frozen_representative_probes.tsv	Frozen representative probes used for scoring	256	25	f8786f749f229a65158f0ba5f62fa10bfa75e1adc3dc837ccbd1078f12f7d6f1	f8786f749f229a65158f0ba5f62fa10bfa75e1adc3dc837ccbd1078f12f7d6f1	TRUE
S8A	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_module_scores_long.tsv	results/supplementary_tables/Supplementary_Table_S8A_GSE72810_module_scores_long.tsv	Sample-level locked-module scores	1715	15	57c9c40d2b899061f61b3c595857f286f2e49e656f72ed2814aee2e665eed469	57c9c40d2b899061f61b3c595857f286f2e49e656f72ed2814aee2e665eed469	TRUE
S8B	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_primary_and_sensitivity_tests.tsv	results/supplementary_tables/Supplementary_Table_S8B_GSE72810_primary_and_sensitivity_tests.tsv	Primary and sensitivity Wilcoxon analyses	20	25	826e5868107052da8a1e015a34af342e632097925260ee01b1c02f37d9cd4a30	826e5868107052da8a1e015a34af342e632097925260ee01b1c02f37d9cd4a30	TRUE
