check_id	check_description	pass	observed	expected
Q01	Clean manuscript SHA locked	TRUE	691f494f5f2335b1a96f5b8d009c815d733b3c74fab0f230eaa3f73274f6b38f	691f494f5f2335b1a96f5b8d009c815d733b3c74fab0f230eaa3f73274f6b38f
Q02	Submitted baseline SHA locked	TRUE	0e0b4a2bcec736d2735ecc903ad72e99a1a3897bc09e2f991a7249000852dd34	0e0b4a2bcec736d2735ecc903ad72e99a1a3897bc09e2f991a7249000852dd34
Q03	Scientific source SHA locked	TRUE	f3b61e6ddb9f5d38c6211c6cfe0d8694e6ca3b761d52a3245d58df844ab5b2ae	f3b61e6ddb9f5d38c6211c6cfe0d8694e6ca3b761d52a3245d58df844ab5b2ae
Q04	Submitted title present only in baseline authority	TRUE	present	present
Q05	Revised title present in clean manuscript	TRUE	present	present
Q06	Submitted short title recovered	TRUE	present	present
Q07	Revised short title present	TRUE	present	present
Q08	GSE72810 absent from submitted baseline	TRUE	0	0
Q09	GSE72810 present in clean manuscript	TRUE	36	>0
Q10	29,826 deletion-variant result absent from baseline	TRUE	0	0
Q11	29,826 deletion-variant result present in clean manuscript	TRUE	3	>0
Q12	Every clean paragraph received an alignment	TRUE	146	146
Q13	Every submitted paragraph received a reverse alignment	TRUE	71	71
Q14	Reviewer/editor redline target EDITOR_AI has clean-manuscript hits	TRUE	2	>0
Q15	Reviewer/editor redline target EDITOR_CODE has clean-manuscript hits	TRUE	1	>0
Q16	Reviewer/editor redline target RR05 has clean-manuscript hits	TRUE	25	>0
Q17	Reviewer/editor redline target RR06 has clean-manuscript hits	TRUE	5	>0
Q18	Reviewer/editor redline target RR07 has clean-manuscript hits	TRUE	9	>0
Q19	Reviewer/editor redline target RR08 has clean-manuscript hits	TRUE	16	>0
Q20	Reviewer/editor redline target RR09 has clean-manuscript hits	TRUE	8	>0
Q21	Reviewer/editor redline target RR11 has clean-manuscript hits	TRUE	16	>0
Q22	Reviewer/editor redline target RR13 has clean-manuscript hits	TRUE	2	>0
Q23	Reviewer/editor redline target RR14 has clean-manuscript hits	TRUE	5	>0
Q24	Reviewer/editor redline target RR15 has clean-manuscript hits	TRUE	1	>0
Q25	Reviewer/editor redline target RR16 has clean-manuscript hits	TRUE	20	>0
Q26	Reviewer/editor redline target LIMITATION has clean-manuscript hits	TRUE	3	>0
