review_decision_tier	module_direction	provisional_module_label	evidence_grade	total_GO_terms	FDR05_GO_terms	unique_overlap_genes_across_groups	best_FDR	representative_terms	top_symbols_union	review_decision_rationale	final_claim_status
primary_candidate_module	higher_in_bacterial	Cytoplasmic translation / ribosomal protein programme	A_strong_GO_support	2	2	25	3.38676488373384e-07	cytoplasmic translation	RPS15A;RPS3A;RPS9;RPL27;RPL26L1;RPLP0;RPS7;RPL23;RPS27;RPL15;RPL9;RPL31;RPL17;RPL34;RPS24;RPL29;MRPL22;RPS4Y1;MRPL13;MRPS18C;UBA52;RPL26;MRPS11;EIF4EBP2;HYDIN2	Compact and coherent bacterial-higher translation/ribosomal programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim
primary_candidate_module	higher_in_bacterial	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	4	4	21	0.00668877450834312	mitochondrial respiratory chain complex I assembly	NDUFB1;NDUFA4;ATP5MF;NDUFC2;ATP5ME;NDUFAF1;NDUFB3;NDUFAF8;MDH2;NDUFA3;ATP5F1A;NDUFAF2;NDUFS4;NDUFAF7;TMEM186;MTFR2;TMEM126A;NDUFAF6;CAT;SLC25A14;NDUFV3	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim
primary_candidate_module	higher_in_viral	Antiviral / interferon-response programme	A_strong_GO_support	3	3	128	1.07328337969612e-06	defense response to virus	IFI27;IFIT1;OAS2;RSAD2;AXL;OAS3;CCL8;IFIT2;IFI44L;MX1;IFIT3;OASL;TRIM14;ISG15;IFI44;HERC5;EIF2AK2;ZBP1;DHX58;OAS1;TRIM5;SAMD9;TLR7;IFIT5;DDX60;RIGI;IFIH1;MX2;NT5C3A;RTP4;DEFB1;TREX1;IRF7;TLR3;BCL2;MOV10;PMAIP1;TRIM6;STAT2;SRC	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim
primary_candidate_module	higher_in_viral	Cytokine and innate immune regulation programme	B_moderate_GO_support	3	3	106	0.000537965439937907	regulation of cytokine production | immune response | positive regulation of macrophage cytokine production	BTN2A2;BTN3A1;ELF1;JPH4;ICOSLG;SOCS1;PATZ1;ZBTB39;HIC2;GATA3;BTN2A3P;ZBTB25;ZBTB1;ZNF131;ZBTB20;CASP8;ZBTB26;ZNF134;ZBTB6;ZBTB33;IGF2BP3;ZNF572;ZBTB49;ZBTB2;ZBTB37;ERMAP;BTN2A1;IFI44L;IFI44;CMKLR1;LIF;DEFB1;TNFSF10;SMAD3;IL7R;TRIM22;TNFSF8;CCR1;CYSLTR2;IFI6;CCR3;CCR9;CD80;CCL28;IL1RN;CTSL;TCF7;CCR7;CD1D;ETS1	Viral-higher cytokine/innate immune regulation programme with sufficient GO support for primary manual review.	eligible_for_primary_manual_biological_review_not_final_claim
primary_candidate_module	higher_in_viral	Antiviral / interferon-response programme	B_moderate_GO_support	3	3	33	0.00199381796006168	negative regulation of viral genome replication | positive regulation of interferon-beta production | type I interferon-mediated signaling pathway	IFIT1;OAS2;RSAD2;OAS3;MX1;OASL;ISG15;EIF2AK2;OAS1;IFIT5;IFIH1;TRIM6;PLSCR1;ISG20;ZC3HAV1;APOBEC3F;IFITM3;FAM111A;TLR7;RIGI;IRF7;TLR3;DDX3X;ZBTB20;TOMM70;RIPK2;PTPN11;IFI27;TREX1;STAT2;STAT1;AZI2;TANK	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim
secondary_candidate_module	higher_in_bacterial	Glutathione / redox metabolism programme	B_moderate_GO_support	1	1	11	0.00668877450834312	glutathione metabolic process	OPLAH;GSTZ1;GSR;SOD2;GLRX2;GSTM4;SLC7A11;HAGH;ARL6IP5;GSTM5;GSTA4	Biologically plausible bacterial-higher redox/glutathione programme, but represented by a single GO group and should be reviewed cautiously.	eligible_for_secondary_manual_biological_review
secondary_candidate_module	higher_in_viral	Transcriptional and chromatin-regulatory programme	B_moderate_GO_support	6	6	531	5.09627531059979e-09	negative regulation of transcription by RNA polymerase II | positive regulation of transcription by RNA polymerase II | regulation of DNA-templated transcription | positive regulation of DNA-templated transcription | negative regulation of DNA-templated transcription | chromatin remodeling	IFI27;HESX1;ZNF684;IRF7;SMAD3;PAX5;FLCN;NFX1;TFEC;KLF12;ZNF366;KLF11;BACH2;PARP9;KDM2B;GATA2;TGIF1;ZNF550;STAT1;MAFB;NRIP1;ZNF136;NSMCE3;CREM;ZNF274;CPEB3;DNAJB4;ZNF224;ZNF440;PATZ1;NR1D2;MYC;ZNF124;SMAD7;ZNF439;LEF1;ZNF337;ZNF350;MAGEE1;MEF2C;AGRN;JUP;IL4I1;TLR7;MAML2;HELZ2;RIGI;LIF;TLR3;NCOA7	Large viral-higher transcription/chromatin regulatory programme; likely real but broad and should not be overinterpreted as a single mechanistic module without further review.	eligible_for_secondary_manual_biological_review
secondary_candidate_module	higher_in_viral	Chemotaxis / immune-cell trafficking programme	B_moderate_GO_support	2	1	32	0.00199381796006168	cell chemotaxis	EPHB1;P2RY12;CCR1;CCR3;CCR9;GRIN2D;CCL28;C5;EIF2AK3;PDGFRB;CCR7;LEF1;RCAN3;PDGFB;CCRL2;PRKCQ;CCR6;CCR4;ACKR3;CCN3;CCR5;HBEGF;DOCK4;CXCL8;FCGR3A;CD3E;CXCR5;CCR2;CCL3;AVPR1A;RCAN1;CHRM3	Viral-higher chemotaxis/immune-cell trafficking signal is plausible but represented by limited GO evidence; retain as secondary.	eligible_for_secondary_manual_biological_review
secondary_candidate_module	higher_in_viral	B-cell / adaptive immune activation programme	B_moderate_GO_support	2	2	26	0.0320086764720266	B cell activation | positive regulation of B cell proliferation	EPHB2;MS4A1;ICOSLG;LAX1;RASGRP1;BANK1;MALT1;CASP8;CD79A;TXLNA;CXCR5;CD40;CDKN1A;BCL2;PRLR;MEF2C;BMI1;PELI1;CLCF1;GPR183;CD38;TNFRSF13C;TNFSF13B;NFATC2;FCRL3;TNFRSF4	Viral-higher B-cell/adaptive activation programme is biologically plausible but should be reviewed as secondary because support is split across compact groups.	eligible_for_secondary_manual_biological_review
secondary_candidate_module	higher_in_viral	NF-kB / kinase / signal-transduction programme	B_moderate_GO_support	1	1	75	0.0488492575956944	protein phosphorylation	CCL2;EPHB2;EIF2AK2;CDK18;PRKAG2;EPHB1;BMPR2;SRC;LOC102724428;GRK5;CDK17;SIK1;AKT3;PRKCE;PRAG1;NEK3;TXK;ITK;TNIK;ERBB2;EPHA4;IGFBP3;EIF2AK3;FER;ACVR1;FNIP2;PDGFB;MYLK;PRKACB;ATR;PRKCH;PRKCQ;ACVR2A;PRKD3;SGK1;TAF1;PKN2;PDK4;VRK2;CDKL1	Viral-higher kinase/NF-kB/signal-transduction evidence is plausible but broad; retain as secondary/manual-review evidence.	eligible_for_secondary_manual_biological_review
